FID,IID,SOL,C1,C2,C3,C4
YRI,111,0,-0.0928148,0.0221876,0.00129814,-0.0235775
YRI,112,0,-0.0946623,0.0233874,0.000660382,-0.0270762
YRI,113,0,-0.0941124,0.0232119,0.000405711,-0.0279114
YRI,114,0,-0.0927903,0.0248415,0.00340542,-0.0262466
YRI,115,0,-0.0938504,0.0231928,0.00155389,-0.0252826
YRI,116,0,-0.0940791,0.0213571,0.000342955,-0.0279067
YRI,119,0,-0.0918193,0.0224532,0.00171102,-0.025522
YRI,121,0,-0.0928677,0.0227605,0.00222329,-0.0263288
YRI,123,0,-0.0943224,0.0231818,9.0766e-05,-0.0267786
YRI,124,0,-0.0936344,0.0236069,0.000569949,-0.0256696
YRI,125,0,-0.0941104,0.0232965,0.000314557,-0.0274194
YRI,129,0,-0.0944823,0.0213315,0.00170239,-0.0272126
YRI,130,0,-0.0921364,0.020813,0.00102967,-0.0264678
YRI,132,0,-0.0944265,0.0213189,0.00124594,-0.027544
YRI,133,0,-0.0924217,0.02277,0.00193268,-0.0263766
YRI,134,0,-0.0943411,0.0232298,0.00266878,-0.0268805
YRI,135,0,-0.0933582,0.0233587,0.00197116,-0.0255928
YRI,137,0,-0.0944071,0.0222401,0.00185493,-0.0269058
YRI,138,0,-0.0918178,0.0232027,0.00142341,-0.0259965
YRI,139,0,-0.0932616,0.02224,0.00169832,-0.0251295
YRI,141,0,-0.093238,0.0224457,0.00110099,-0.027645
YRI,142,0,-0.0940889,0.022009,0.00157872,-0.0272628
YRI,143,0,-0.0931522,0.0225565,0.00303942,-0.0269428
YRI,144,0,-0.0924309,0.0235325,0.00248356,-0.0267635
YRI,146,0,-0.0935164,0.0220187,0.00160645,-0.0269192
YRI,148,0,-0.0928624,0.0231465,0.00128648,-0.0276245
YRI,149,0,-0.0929967,0.0237338,0.00191681,-0.0283403
YRI,150,0,-0.0921761,0.0222857,0.00237266,-0.0255357
YRI,151,0,-0.0957296,0.0229706,0.00104109,-0.0244111
YRI,153,0,-0.0946078,0.0218764,-0.00021938,-0.0268011
YRI,155,0,-0.0931369,0.0233018,-0.000573577,-0.0251901
YRI,158,0,-0.0946533,0.0225004,-0.0006964,-0.0252524
YRI,160,0,-0.0913848,0.0227706,0.000200671,-0.0251003
YRI,161,0,-0.095195,0.0224943,0.00206967,-0.0271429
YRI,162,0,-0.0930742,0.0240763,0.00274906,-0.0269032
YRI,163,0,-0.094073,0.0230908,0.00191777,-0.0245073
YRI,165,0,-0.0932265,0.0237008,0.000468239,-0.0274105
YRI,167,0,-0.0950967,0.0220601,0.00247667,-0.0258624
TSI,1,0,0.0338483,-0.0791912,-0.0164293,0.000228214
TSI,2,0,0.0357387,-0.0772174,-0.0131948,0.000795294
TSI,3,0,0.0365282,-0.0780845,-0.0138999,0.00154033
TSI,4,0,0.0346768,-0.0790953,-0.0147769,0.00149413
TSI,5,0,0.0354287,-0.0766718,-0.0130976,-0.000587921
TSI,6,0,0.0351626,-0.0774818,-0.0141434,0.000793361
TSI,7,0,0.0344102,-0.0794945,-0.0149762,0.00130987
TSI,8,0,0.0347756,-0.0789358,-0.0169869,-0.000808706
TSI,9,0,0.033375,-0.0804211,-0.016344,0.00310038
TSI,10,0,0.0336839,-0.0776562,-0.0145291,-0.00012838
TSI,11,0,0.0359346,-0.0780365,-0.0164767,0.00191558
TSI,12,0,0.0335635,-0.0798007,-0.0133485,0.0005863
TSI,13,0,0.0342641,-0.0791835,-0.010757,-0.00197503
TSI,14,0,0.0339761,-0.0803084,-0.0164019,0.000381096
TSI,15,0,0.0338049,-0.0799945,-0.0134191,0.00117557
TSI,16,0,0.0352541,-0.0792735,-0.0160619,0.000919891
TSI,17,0,0.0350023,-0.0790033,-0.0142779,-0.00055395
TSI,18,0,0.0370437,-0.0783079,-0.0141416,-0.00119687
TSI,19,0,0.0353707,-0.0796487,-0.017427,0.00102064
TSI,20,0,0.034442,-0.0802023,-0.0160572,-0.00176627
TSI,21,0,0.0363268,-0.0779336,-0.015907,0.000264216
TSI,22,0,0.0337404,-0.0773613,-0.0172111,0.000516826
TSI,23,0,0.0336459,-0.0790453,-0.0155843,0.000751113
TSI,24,0,0.0349182,-0.0767767,-0.0152197,0.000459852
TSI,25,0,0.0350212,-0.0784936,-0.0145901,0.00135537
TSI,26,0,0.0352674,-0.0788308,-0.0157297,0.000580963
TSI,27,0,0.0348918,-0.0790942,-0.0146041,0.000433593
TSI,28,0,0.0342091,-0.0774401,-0.0158197,0.00315268
TSI,29,0,0.0335566,-0.0800911,-0.0138129,-0.000486564
TSI,30,0,0.035607,-0.0792526,-0.0150994,0.00183722
TSI,31,0,0.0345025,-0.0777893,-0.0137538,0.000532059
TSI,32,0,0.0342944,-0.0787511,-0.0156066,0.001083
TSI,33,0,0.0354756,-0.0769603,-0.0169,0.0005662
TSI,34,0,0.0340925,-0.0799467,-0.0157614,0.00312226
TSI,35,0,0.0349907,-0.0805851,-0.0156339,-0.00215358
TSI,36,0,0.0338673,-0.0782452,-0.0174546,0.00294318
TSI,37,0,0.0337033,-0.0789153,-0.0158887,-6.01767e-05
TSI,38,0,0.0360149,-0.0780376,-0.0177736,-0.000229208
TSI,39,0,0.0347606,-0.0799491,-0.0124368,-0.000359172
TSI,40,0,0.0343656,-0.080675,-0.0169611,0.00165526
TSI,41,0,0.0347126,-0.0777017,-0.0156229,-0.00194255
TSI,42,0,0.0365854,-0.0764461,-0.0129365,-0.000470433
TSI,43,0,0.0331608,-0.0802669,-0.0125244,0.000867894
TSI,44,0,0.0335333,-0.0793827,-0.0136935,-0.00119558
TSI,45,0,0.0339081,-0.0809843,-0.01395,0.00165082
TSI,46,0,0.0336545,-0.0787391,-0.0169512,0.00050308
TSI,47,0,0.0366348,-0.0804275,-0.0157983,0.000145103
TSI,48,0,0.0341351,-0.0780332,-0.016342,-0.00150927
TSI,49,0,0.0344798,-0.0805758,-0.0157663,0.00323523
TSI,50,0,0.0342179,-0.0790624,-0.0164434,0.00140923
TSI,51,0,0.0328901,-0.0771175,-0.0147625,0.002361
TSI,52,0,0.0346051,-0.0778154,-0.0152306,0.00148423
TSI,53,0,0.0338066,-0.0785964,-0.0160173,0.0015668
TSI,54,0,0.0356487,-0.078701,-0.0123073,0.000986425
TSI,55,0,0.0348118,-0.0788046,-0.0166794,0.000394189
TSI,56,0,0.0313903,-0.078468,-0.0138938,0.000980136
TSI,57,0,0.0345704,-0.0798081,-0.0146626,-0.000673094
TSI,58,0,0.0349104,-0.078664,-0.0158036,-0.000243308
TSI,59,0,0.033174,-0.078833,-0.015592,0.00196721
TSI,60,0,0.0340476,-0.0773187,-0.0152794,0.00222465
TSI,61,0,0.0348016,-0.0798461,-0.0148843,0.00016503
TSI,62,0,0.0358618,-0.0806436,-0.0166489,0.000831766
TSI,63,0,0.0345337,-0.0778497,-0.0170785,0.00291998
TSI,64,0,0.0336952,-0.0789805,-0.0161084,-0.000144894
TSI,65,0,0.0355662,-0.0794701,-0.0147416,0.000966305
TSI,66,0,0.0351876,-0.0777377,-0.0131149,0.00214092
TSI,67,0,0.035493,-0.0778887,-0.0153497,-0.000639779
TSI,68,0,0.0337847,-0.0793342,-0.0152175,0.00102321
TSI,69,0,0.0336288,-0.0792923,-0.0163852,-0.000104256
TSI,70,0,0.032937,-0.0791879,-0.0128807,0.00194503
TSI,71,0,0.036151,-0.0791051,-0.0128499,0.000679725
TSI,72,0,0.0346197,-0.0797775,-0.0139333,0.0010613
TSI,73,0,0.0333227,-0.0791669,-0.0120011,0.000253732
TSI,74,0,0.0337425,-0.0790775,-0.0156301,0.00143436
TSI,75,0,0.0339951,-0.0791056,-0.0179654,-4.90928e-05
TSI,76,0,0.0341792,-0.0793801,-0.0162144,0.00129794
TSI,77,0,0.0356116,-0.0788159,-0.0139888,0.00250374
TSI,78,0,0.0344175,-0.079111,-0.013512,0.00118978
TSI,79,0,0.0334878,-0.0772609,-0.0156836,0.000935841
TSI,80,0,0.034997,-0.0789009,-0.0161988,0.00188465
TSI,81,0,0.0343256,-0.0786794,-0.0133701,0.000771723
TSI,82,0,0.0352732,-0.0787637,-0.0146406,0.0019111
TSI,83,0,0.0327674,-0.080629,-0.0121927,-0.000402915
TSI,84,0,0.034692,-0.0780884,-0.0153567,9.24895e-05
TSI,85,0,0.0343493,-0.078403,-0.013867,0.000342256
TSI,86,0,0.0348077,-0.0803881,-0.0145886,-0.00170177
TSI,87,0,0.0338881,-0.0796918,-0.0138657,0.00151447
TSI,88,0,0.0331979,-0.0773029,-0.0161449,0.00140244
JPT,1,0,0.0703129,0.0637747,-0.00664862,-1.58431e-05
JPT,2,0,0.0706674,0.0634323,-0.00556248,0.000490447
JPT,3,0,0.0709011,0.0647369,-0.00557299,-0.000393734
JPT,4,0,0.0703714,0.0640253,-0.00525358,0.00198582
JPT,5,0,0.0707158,0.0637167,-0.00417701,-0.00146626
JPT,6,0,0.0693123,0.064484,-0.0053302,0.00155837
